vote_intention,consider_trump,not_trump,primary_party,education,state,race,gender,age_group
Yes,No,Other,Democratic,Postgrad,FL,White,Female,30-49
Yes,No,Other,Democratic,College degree,NY,White,Female,70+
Yes,No,Other,Democratic,Some college,CA,White,Female,50-69
Yes,Yes,No,Republican,Postgrad,VA,White,Male,70+
Yes,No,Other,Democratic,Some college,FL,White,Male,30-49
Yes,Yes,Yes,Republican,Postgrad,CO,White,Male,30-49
Yes,Yes,No,Republican,College degree,AL,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,TX,White,Female,50-69
Yes,No,Other,Democratic,Some college,IL,White,Female,50-69
Yes,Yes,Yes,Democratic,Some college,NY,White,Male,70+
Yes,No,Other,Democratic,College degree,OH,White,Female,18-29
Yes,No,Other,Republican,College degree,UT,Other,Female,30-49
Other,Other,Other,Other,Some college,ND,White,Female,50-69
Yes,No,Other,Democratic,College degree,OK,White,Female,18-29
Yes,No,Other,Democratic,Some college,PA,White,Female,50-69
Yes,Yes,No,Republican,College degree,NY,White,Female,30-49
Yes,No,Other,Democratic,Some college,MN,White,Male,70+
Yes,Yes,Other,Republican,Some college,GA,White,Female,30-49
Yes,No,Other,Democratic,College degree,VA,Black,Female,18-29
Yes,No,Other,Democratic,Some college,IL,White,Female,50-69
Yes,No,Other,Democratic,Some college,CA,Asian,Female,70+
Yes,Yes,No,Republican,High school or less,VA,White,Female,70+
Yes,Yes,Yes,Democratic,College degree,FL,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,FL,White,Male,30-49
Yes,No,Other,Democratic,High school or less,TN,White,Female,50-69
Yes,No,Other,Democratic,College degree,MA,Asian,Female,30-49
Yes,Yes,No,Republican,High school or less,VA,White,Female,50-69
Yes,No,Other,Republican,College degree,AZ,White,Female,50-69
Yes,Other,Yes,Other,High school or less,MI,Asian,Female,30-49
Yes,Yes,Other,Other,Some college,PA,White,Female,50-69
Yes,No,Other,Democratic,High school or less,GA,White,Female,50-69
Yes,Yes,No,Republican,College degree,MS,White,Female,50-69
No,No,Other,Other,Some college,AZ,White,Male,50-69
Yes,Yes,Other,Republican,High school or less,MO,White,Female,50-69
Yes,Yes,Other,Republican,Some college,MI,Black,Female,50-69
Yes,No,Other,Other,High school or less,TX,White,Female,50-69
Yes,Yes,No,Republican,High school or less,SC,White,Female,50-69
Yes,No,Other,Republican,College degree,TX,White,Female,30-49
