pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,start_date,end_date,national_poll,recent_poll
Patriot Polling,1.1,NA,Kamala Harris,DEM,49.4,1115,Voters,2024-11-01,2024-11-03,1,Recent
Patriot Polling,1.1,NA,Donald Trump,REP,48.1,1115,Voters,2024-11-01,2024-11-03,1,Recent
Patriot Polling,1.1,Pennsylvania,Kamala Harris,DEM,48.7,903,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Pennsylvania,Donald Trump,REP,49.6,903,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Michigan,Kamala Harris,DEM,49.2,858,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Michigan,Donald Trump,REP,48.5,858,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Wisconsin,Kamala Harris,DEM,49,835,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Wisconsin,Donald Trump,REP,48.7,835,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,North Carolina,Kamala Harris,DEM,48.9,799,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,North Carolina,Donald Trump,REP,50.5,799,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Georgia,Kamala Harris,DEM,48.6,818,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Georgia,Donald Trump,REP,50.4,818,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Arizona,Kamala Harris,DEM,47.6,801,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Arizona,Donald Trump,REP,51.1,801,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Nevada,Kamala Harris,DEM,49.4,792,Voters,2024-11-01,2024-11-03,0,Recent
Patriot Polling,1.1,Nevada,Donald Trump,REP,49.5,792,Voters,2024-11-01,2024-11-03,0,Recent
Trafalgar Group,0.7,Pennsylvania,Kamala Harris,DEM,46.7,1089,Voters,2024-11-01,2024-11-03,0,Recent
Trafalgar Group,0.7,Pennsylvania,Donald Trump,REP,48.4,1089,Voters,2024-11-01,2024-11-03,0,Recent
Trafalgar Group,0.7,Wisconsin,Kamala Harris,DEM,48.2,1086,Voters,2024-11-01,2024-11-03,0,Recent
Trafalgar Group,0.7,Wisconsin,Donald Trump,REP,47,1086,Voters,2024-11-01,2024-11-03,0,Recent
Trafalgar Group,0.7,Michigan,Kamala Harris,DEM,47.4,1079,Voters,2024-11-01,2024-11-03,0,Recent
Trafalgar Group,0.7,Michigan,Donald Trump,REP,47.8,1079,Voters,2024-11-01,2024-11-03,0,Recent
Leger,2,NA,Kamala Harris,DEM,49,950,Voters,2024-10-31,2024-11-03,1,Recent
Leger,2,NA,Donald Trump,REP,49,950,Voters,2024-10-31,2024-11-03,1,Recent
Emerson,2.9,Iowa,Kamala Harris,DEM,44.8,800,Voters,2024-11-01,2024-11-02,0,Recent
Emerson,2.9,Iowa,Donald Trump,REP,53.9,800,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,NA,Kamala Harris,DEM,47.2,2463,Voters,2024-11-01,2024-11-02,1,Recent
AtlasIntel,2.7,NA,Donald Trump,REP,49,2463,Voters,2024-11-01,2024-11-02,1,Recent
AtlasIntel,2.7,NA,Kamala Harris,DEM,48.3,2463,Voters,2024-11-01,2024-11-02,1,Recent
AtlasIntel,2.7,NA,Donald Trump,REP,49.8,2463,Voters,2024-11-01,2024-11-02,1,Recent
