Squad,Rk,W,D,L,Pts,Pts.MP,Poss,Gls,xG,PrgC,PrgP,season
Arsenal,2,26,6,6,84,2.21,59.3,84,71.9,824,2049,22/23
Aston Villa,7,18,7,13,61,1.61,49.3,49,50.2,637,1242,22/23
Bournemouth,15,11,6,21,39,1.03,40.4,37,38.6,504,1006,22/23
Brentford,9,15,14,9,59,1.55,43.8,56,56.7,392,1131,22/23
Brighton,6,18,8,12,62,1.63,60.2,68,73.3,809,1849,22/23
Chelsea,12,11,11,16,44,1.16,58.7,37,49.5,829,1737,22/23
Crystal Palace,11,11,12,15,45,1.18,46.3,38,39.3,556,1243,22/23
Everton,17,8,12,18,36,0.95,42.8,32,45.2,500,1052,22/23
Fulham,10,15,7,16,52,1.37,48.8,52,46.2,662,1326,22/23
Leeds United,19,7,10,21,31,0.82,47.0,45,47.4,555,1429,22/23
Leicester City,18,9,7,22,34,0.89,47.7,49,50.6,580,1304,22/23
Liverpool,5,19,10,9,67,1.76,60.8,71,72.6,719,1992,22/23
Manchester City,1,28,5,5,89,2.34,64.7,92,78.6,988,2073,22/23
Manchester Utd,3,23,6,9,75,1.97,53.7,56,67.7,711,1595,22/23
Newcastle Utd,4,19,14,5,71,1.87,52.3,64,72.0,694,1618,22/23
Nott'ham Forest,16,9,11,18,38,1,37.6,36,39.3,435,859,22/23
Southampton,20,6,7,25,25,0.66,44.5,36,37.7,588,1125,22/23
Tottenham,8,18,6,14,60,1.58,50.0,68,57.0,692,1449,22/23
West Ham,14,11,7,20,40,1.05,42.1,41,49.2,615,1274,22/23
Wolves,13,11,8,19,41,1.08,49.9,28,36.8,610,1343,22/23
Arsenal,5,22,3,13,69,1.82,52.8,60,60.5,734,1655,21/22
Aston Villa,14,13,6,19,45,1.18,46.5,50,44.0,653,1300,21/22
Brentford,13,13,7,18,46,1.21,44.8,46,45.8,450,1189,21/22
Brighton,9,12,15,11,51,1.34,54.4,40,46.2,676,1547,21/22
Burnley,18,7,14,17,35,0.92,40.2,32,39.7,388,972,21/22
Chelsea,3,21,11,6,74,1.95,61.8,75,63.4,894,1967,21/22
Crystal Palace,12,11,15,12,48,1.26,51.1,50,46.4,592,1229,21/22
Everton,16,11,6,21,39,1.03,40.0,42,41.2,512,1100,21/22
Leeds United,17,9,11,18,38,1,52.3,42,44.4,671,1483,21/22
Leicester City,8,14,10,14,52,1.37,52.0,62,47.8,622,1356,21/22
Liverpool,2,28,8,2,92,2.42,62.7,94,88.7,885,2243,21/22
Manchester City,1,29,6,3,93,2.45,67.9,96,88.7,1145,2421,21/22
Manchester Utd,6,16,10,12,58,1.53,52.7,56,55.8,784,1568,21/22
Newcastle Utd,11,13,10,15,49,1.29,40.4,41,38.1,544,923,21/22
Norwich City,20,5,7,26,22,0.58,42.9,21,32.3,566,1031,21/22
Southampton,15,9,13,16,40,1.05,47.7,41,44.8,728,1326,21/22
Tottenham,4,22,5,11,71,1.87,51.8,63,61.2,791,1459,21/22
Watford,19,6,5,27,23,0.61,40.7,33,40.0,557,1070,21/22
West Ham,7,16,8,14,56,1.47,47.9,58,51.4,646,1449,21/22
Wolves,10,15,6,17,51,1.34,49.5,35,37.5,723,1283,21/22
Arsenal,8,18,7,13,61,1.61,53.5,53,51.8,758,1760,20/21
Aston Villa,11,16,7,15,55,1.45,48.5,52,52.5,629,1420,20/21
Brighton,16,9,14,15,41,1.08,51.1,39,50.9,685,1516,20/21
Burnley,17,10,9,19,39,1.03,42.1,32,39.3,389,1012,20/21
Chelsea,4,19,10,9,67,1.76,60.9,56,62.4,895,1798,20/21
Crystal Palace,14,12,8,18,44,1.16,40.6,39,34.1,526,1132,20/21
Everton,10,17,8,13,59,1.55,46.4,45,45.7,604,1184,20/21
Fulham,18,5,13,20,28,0.74,49.7,26,40.5,727,1354,20/21
Leeds United,9,18,5,15,59,1.55,57.3,60,55.6,811,1633,20/21
Leicester City,5,20,6,12,66,1.74,54.3,64,55.8,666,1464,20/21
Liverpool,3,20,9,9,69,1.82,62.1,65,67.5,886,2057,20/21
Manchester City,1,27,5,6,86,2.26,63.5,82,68.2,1096,2051,20/21
Manchester Utd,2,21,11,6,74,1.95,55.7,70,60.1,877,1832,20/21
Newcastle Utd,12,12,9,17,45,1.18,38.8,44,43.4,467,903,20/21
Sheffield Utd,20,7,2,29,23,0.61,41.7,19,32.6,491,1196,20/21
Southampton,15,12,7,19,43,1.13,52.0,47,41.2,626,1195,20/21
Tottenham,7,18,8,12,62,1.63,51.6,66,53.1,633,1330,20/21
West Brom,19,5,11,22,26,0.68,37.9,33,35.8,441,1027,20/21
West Ham,6,19,8,11,65,1.71,43.2,60,55.4,658,1282,20/21
Wolves,13,12,9,17,45,1.18,49.3,34,36.5,800,1283,20/21
Arsenal,8,14,14,10,56,1.47,53.8,56,47.0,815,1641,19/20
Aston Villa,17,9,8,21,35,0.92,44.1,40,44.3,639,1247,19/20
Bournemouth,18,9,7,22,34,0.89,44.1,38,44.8,601,1256,19/20
Brighton,15,9,14,15,41,1.08,52.2,35,45.4,669,1675,19/20
Burnley,10,15,9,14,54,1.42,41.9,41,47.4,437,890,19/20
Chelsea,4,20,6,12,66,1.74,60.4,69,69.2,983,1897,19/20
Crystal Palace,14,11,10,17,43,1.13,44.8,29,35.8,596,1223,19/20
Everton,12,13,10,15,49,1.29,49.0,42,50.8,623,1430,19/20
Leicester City,5,18,8,12,62,1.63,57.1,65,62.2,739,1612,19/20
Liverpool,1,32,3,3,99,2.61,62.9,83,68.9,967,1941,19/20
Manchester City,2,26,3,9,81,2.13,66.2,100,92.0,1199,2460,19/20
Manchester Utd,3,18,12,8,66,1.74,55.8,65,62.2,926,1788,19/20
Newcastle Utd,13,11,11,16,44,1.16,39.0,38,35.5,537,844,19/20
Norwich City,20,5,6,27,21,0.55,49.3,25,37.0,673,1169,19/20
Sheffield Utd,9,14,12,12,54,1.42,43.1,36,43.0,493,1352,19/20
Southampton,11,15,7,16,52,1.37,48.9,51,56.1,628,1335,19/20
Tottenham,6,16,11,11,59,1.55,52.0,56,47.9,768,1410,19/20
Watford,19,8,10,20,34,0.89,42.9,35,48.9,578,1168,19/20
West Ham,16,10,9,19,39,1.03,44.1,49,48.6,666,1377,19/20
Wolves,7,15,14,9,59,1.55,48.3,49,54.1,858,1338,19/20
Arsenal,5,21,7,10,70,1.84,58.1,69,60.1,868,1874,18/19
Bournemouth,14,13,6,19,45,1.18,46.9,55,53.3,738,1435,18/19
Brighton,17,9,9,20,36,0.95,42.4,35,35.3,475,1150,18/19
Burnley,15,11,7,20,40,1.05,41.2,43,44.4,421,1032,18/19
Cardiff City,18,10,4,24,34,0.89,35.4,33,42.4,434,918,18/19
Chelsea,3,21,9,8,72,1.89,62.9,61,58.6,1058,2155,18/19
Crystal Palace,12,14,7,17,49,1.29,45.2,48,47.6,771,1458,18/19
Everton,8,15,9,14,54,1.42,51.5,53,49.7,697,1581,18/19
Fulham,19,7,5,26,26,0.68,48.8,33,41.3,628,1487,18/19
Huddersfield,20,3,7,28,16,0.42,47.2,21,28.8,601,1248,18/19
Leicester City,9,15,7,16,52,1.37,50.9,48,52.4,752,1537,18/19
Liverpool,2,30,7,1,97,2.55,61.8,86,73.7,857,2008,18/19
Manchester City,1,32,2,4,98,2.58,67.9,91,84.3,1325,2429,18/19
Manchester Utd,6,19,9,10,66,1.74,54.7,65,61.4,801,1668,18/19
Newcastle Utd,13,12,9,17,45,1.18,40.4,41,39.1,467,985,18/19
Southampton,16,9,12,17,39,1.03,43.4,44,46.9,603,1333,18/19
Tottenham,4,23,2,13,71,1.87,59.0,66,54.9,840,1744,18/19
Watford,11,14,8,16,50,1.32,46.7,51,48.2,588,1294,18/19
West Ham,10,15,7,16,52,1.37,48.6,51,47.6,731,1478,18/19
Wolves,7,16,9,13,57,1.5,46.8,46,52.1,743,1350,18/19
Arsenal,6,19,6,13,63,1.66,61.4,73,68.3,915,2223,17/18
Bournemouth,12,11,11,16,44,1.16,48.1,45,38.8,702,1526,17/18
Brighton,15,9,13,16,40,1.05,43.7,33,37.0,523,1230,17/18
