Squad,Rk,W,D,L,Pts,Pts.MP,Poss,Gls,xG,PrgC,PrgP
Arsenal,2,22,5,5,71,2.22,59.5,71,62.9,701,1795
Aston Villa,4,19,6,8,63,1.91,54.5,65,55.8,704,1325
Bournemouth,13,11,9,12,42,1.31,45.1,46,47.0,592,1143
Brentford,15,8,8,17,32,0.97,44.2,45,51.4,413,1110
Brighton,10,11,11,10,44,1.38,61.3,47,48.4,731,1577
Burnley,19,4,8,21,20,0.61,46.7,32,33.5,605,999
Chelsea,9,13,8,10,47,1.52,58.8,60,60.7,711,1330
Crystal Palace,14,8,9,15,33,1.03,41.2,37,37.5,408,938
Everton,16,9,8,15,29,0.91,40.6,32,47.2,424,979
Fulham,12,12,6,15,42,1.27,51.2,48,46.4,588,1325
Liverpool,3,21,8,3,71,2.22,61.0,68,73.4,773,1736
Luton Town,18,6,7,20,25,0.76,41.8,43,38.1,590,940
Manchester City,1,22,7,3,73,2.28,65.9,74,67.1,994,1786
Manchester Utd,7,15,5,12,50,1.56,50.1,47,47.2,621,1260
Newcastle Utd,6,15,5,12,50,1.56,51.9,68,61.4,598,1287
Nott'ham Forest,17,7,9,17,26,0.79,40.7,42,42.4,500,973
Sheffield Utd,20,3,7,22,16,0.5,35.1,26,29.8,272,693
Tottenham,5,18,6,8,60,1.88,61.5,60,55.5,814,1758
West Ham,8,13,9,11,48,1.45,41.7,51,46.0,493,1092
Wolves,11,12,7,13,43,1.34,48.5,43,42.4,596,1012
