Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester City,32,22,7,3,76,32,44,73,2.28,67.1,30.6,36.5,1.14,D D W W W,"52,923",Erling Haaland - 20,Ederson,
2,Arsenal,32,22,5,5,75,26,49,71,2.22,62.9,22.2,40.7,1.27,W D W W L,"60,224",Bukayo Saka - 14,David Raya,
3,Liverpool,32,21,8,3,72,31,41,71,2.22,73.4,38.2,35.3,1.1,D W W D L,"55,498",Mohamed Salah - 17,Alisson,
4,Aston Villa,33,19,6,8,68,49,19,63,1.91,55.8,49.8,6,0.18,D W L D W,"41,950",Ollie Watkins - 19,Emiliano Martínez,
5,Tottenham,32,18,6,8,65,49,16,60,1.88,55.5,52.9,2.6,0.08,L W D W L,"61,525",Son Heung-min - 15,Guglielmo Vicario,
6,Newcastle Utd,32,15,5,12,69,52,17,50,1.56,61.4,54.1,7.3,0.23,L W D W W,"52,128",Alexander Isak - 17,Martin Dúbravka,
7,Manchester Utd,32,15,5,12,47,48,-1,50,1.56,47.2,59,-11.7,-0.37,W D L D D,"73,522",Bruno Fernandes - 8,André Onana,
8,West Ham,33,13,9,11,52,58,-6,48,1.45,46,60.7,-14.7,-0.45,D L D W L,"62,578",Jarrod Bowen - 15,Alphonse Areola,
9,Chelsea,31,13,8,10,61,52,9,47,1.52,60.7,46.2,14.5,0.47,W D W D W,"39,553",Cole Palmer - 20,Robert Sánchez,
10,Brighton,32,11,11,10,52,50,2,44,1.38,48.4,47.1,1.3,0.04,W L D L D,"32,915",João Pedro - 8,Bart Verbruggen,
11,Wolves,32,12,7,13,46,51,-5,43,1.34,42.4,53.3,-10.9,-0.34,W L D L D,"31,295",Matheus Cunha - 11,José Sá,
12,Fulham,33,12,6,15,49,51,-2,42,1.27,46.4,55.1,-8.6,-0.26,W D L L W,"24,298",Rodrigo Muniz - 8,Bernd Leno,
13,Bournemouth,32,11,9,12,47,57,-10,42,1.31,47,48.7,-1.7,-0.05,W W W L D,"11,095",Dominic Solanke - 17,Neto,
14,Crystal Palace,32,8,9,15,37,54,-17,33,1.03,37.5,46.5,-9,-0.28,D D L L W,"24,879","Odsonne Édouard, Jean-Philippe Mateta... - 7",Sam Johnstone,
15,Brentford,33,8,8,17,47,58,-11,32,0.97,51.4,49.2,2.2,0.07,L D D D W,"17,079","Bryan Mbeumo, Yoane Wissa - 8",Mark Flekken,
16,Everton,32,9,8,15,32,48,-16,29,0.91,47.2,47,0.2,0.01,L L D W L,"39,068",Abdoulaye Doucouré - 6,Jordan Pickford,6-point deduction 1
17,Nott'ham Forest,33,7,9,17,42,58,-16,26,0.79,42.4,47,-4.6,-0.14,D D W L D,"29,349",Chris Wood - 12,Matt Turner,4-point deduction 2
18,Luton Town,33,6,7,20,46,70,-24,25,0.76,38.1,68,-29.9,-0.9,D L L W L,"11,111","Carlton Morris, Elijah Adebayo - 9",Thomas Kaminski,
19,Burnley,33,4,8,21,33,68,-35,20,0.61,33.5,57.4,-23.9,-0.72,W D D L D,"21,153","Josh Brownhill, Jacob Bruun Larsen... - 4",James Trafford,
20,Sheffield Utd,32,3,7,22,30,84,-54,16,0.5,29.8,61.5,-31.7,-0.99,D D L D L,"30,226",Oliver McBurnie - 6,Wes Foderingham,
