date,speeding,ag_driv,alcohol,disability
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,Yes,Yes,Yes,None
2006-01-01,None,None,None,None
2006-01-01,None,None,None,None
2006-01-01,None,None,None,None
2006-01-01,None,None,None,None
2006-01-01,None,None,None,None
2006-01-02,None,None,None,None
2006-01-02,None,None,None,None
2006-01-04,None,None,None,None
2006-01-04,None,None,None,None
2006-01-06,None,None,None,None
2006-01-06,None,None,None,None
2006-01-07,None,None,None,None
2006-01-07,None,None,None,None
2006-01-07,None,None,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-08,None,Yes,None,None
2006-01-09,None,None,None,None
2006-01-09,None,None,None,None
2006-01-09,None,None,None,None
2006-01-09,None,None,None,None
2006-01-09,None,None,None,None
2006-01-09,None,None,None,None
2006-01-10,None,None,None,Yes
2006-01-10,None,None,None,Yes
2006-01-11,Yes,Yes,None,None
2006-01-11,Yes,Yes,None,None
2006-01-11,Yes,Yes,None,None
2006-01-11,Yes,Yes,None,None
2006-01-11,Yes,Yes,None,None
2006-01-11,Yes,Yes,None,None
2006-01-14,Yes,Yes,None,None
2006-01-14,Yes,Yes,None,None
2006-01-14,Yes,Yes,None,None
2006-01-14,None,None,None,None
2006-01-14,None,None,None,None
2006-01-15,None,None,None,None
2006-01-15,None,None,None,None
2006-01-17,None,None,None,None
2006-01-17,None,None,None,None
2006-01-17,None,Yes,None,None
2006-01-17,None,Yes,None,None
2006-01-17,None,None,None,None
2006-01-17,None,None,None,None
2006-01-17,None,None,None,None
2006-01-21,Yes,Yes,None,None
2006-01-21,Yes,Yes,None,None
2006-01-21,Yes,Yes,None,None
2006-01-22,None,Yes,None,None
2006-01-22,None,Yes,None,None
2006-01-22,None,Yes,None,None
2006-01-22,None,None,None,None
2006-01-22,None,None,None,None
2006-01-22,None,None,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,None,Yes,None,None
2006-01-24,None,Yes,None,None
2006-01-24,None,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
2006-01-24,Yes,Yes,None,None
