date,traffctl,visibility,light,rdsfcond,acclass,speeding,ag_driv,alcohol,disability
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Clear,Dark,Wet,Non-Fatal Injury,Yes,Yes,Yes,None
2006-01-01,No Control,Disturbed,Dark,Others,Non-Fatal Injury,None,None,None,None
2006-01-01,No Control,Disturbed,Dark,Others,Non-Fatal Injury,None,None,None,None
2006-01-01,No Control,Disturbed,Dark,Others,Non-Fatal Injury,None,None,None,None
2006-01-01,No Control,Disturbed,Dark,Others,Non-Fatal Injury,None,None,None,None
2006-01-01,No Control,Disturbed,Dark,Others,Non-Fatal Injury,None,None,None,None
2006-01-02,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-02,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-04,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-04,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-06,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-06,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-07,No Control,Clear,Dark,Wet,Fatal,None,None,None,None
2006-01-07,No Control,Clear,Dark,Wet,Fatal,None,None,None,None
2006-01-07,No Control,Clear,Dark,Wet,Fatal,None,None,None,None
2006-01-08,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-08,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-08,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-08,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-08,Others,Clear,Dark,Dry,Fatal,None,Yes,None,None
2006-01-08,Others,Clear,Dark,Dry,Fatal,None,Yes,None,None
2006-01-08,Others,Clear,Dark,Dry,Fatal,None,Yes,None,None
2006-01-08,Others,Clear,Dark,Dry,Fatal,None,Yes,None,None
2006-01-08,Others,Clear,Dark,Dry,Fatal,None,Yes,None,None
2006-01-08,Others,Clear,Dark,Dry,Fatal,None,Yes,None,None
2006-01-09,Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None
2006-01-09,Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None
2006-01-09,Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None
2006-01-09,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-09,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-09,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-10,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-01-10,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-01-11,No Control,Clear,Daylight,Wet,Fatal,Yes,Yes,None,None
2006-01-11,No Control,Clear,Daylight,Wet,Fatal,Yes,Yes,None,None
2006-01-11,No Control,Clear,Daylight,Wet,Fatal,Yes,Yes,None,None
2006-01-11,No Control,Clear,Daylight,Wet,Fatal,Yes,Yes,None,None
2006-01-11,No Control,Clear,Daylight,Wet,Fatal,Yes,Yes,None,None
2006-01-11,No Control,Clear,Daylight,Wet,Fatal,Yes,Yes,None,None
2006-01-14,Others,Disturbed,Daylight,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-01-14,Others,Disturbed,Daylight,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-01-14,Others,Disturbed,Daylight,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-01-14,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-14,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-15,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-15,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-17,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-17,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-17,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-01-17,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-01-17,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-17,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-17,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-01-21,No Control,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-21,No Control,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-21,No Control,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-22,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-22,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-22,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-01-22,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-22,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-22,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-01-24,Traffic Signal,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-24,Traffic Signal,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-24,Traffic Signal,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-24,Traffic Signal,Clear,Dim Light,Dry,Fatal,Yes,Yes,None,None
2006-01-24,Others,Clear,Daylight,Wet,Fatal,None,Yes,None,None
2006-01-24,Others,Clear,Daylight,Wet,Fatal,None,Yes,None,None
2006-01-24,Others,Clear,Daylight,Wet,Fatal,None,Yes,None,None
2006-01-24,No Control,Disturbed,Dark,Wet,Fatal,Yes,Yes,None,None
2006-01-24,No Control,Disturbed,Dark,Wet,Fatal,Yes,Yes,None,None
2006-01-24,No Control,Disturbed,Dark,Wet,Fatal,Yes,Yes,None,None
2006-01-24,No Control,Disturbed,Dark,Wet,Fatal,Yes,Yes,None,None
2006-01-24,No Control,Disturbed,Dark,Wet,Fatal,Yes,Yes,None,None
2006-01-24,No Control,Disturbed,Dark,Wet,Fatal,Yes,Yes,None,None
2006-01-27,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,Others,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,Others,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-27,Others,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-01-29,No Control,Disturbed,Dark,Wet,Fatal,None,None,None,None
2006-01-29,No Control,Disturbed,Dark,Wet,Fatal,None,None,None,None
2006-01-29,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-01-29,Traffic Signal,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-02,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-02,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-02,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-02,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-03,Traffic Signal,Disturbed,Daylight,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-03,Traffic Signal,Disturbed,Daylight,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-03,Traffic Signal,Disturbed,Daylight,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-03,Traffic Signal,Disturbed,Daylight,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-07,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-07,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-08,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-08,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-08,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-08,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-11,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-02-11,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
