occupancy_date,sector,capacity_type,location_city,occupied_beds,capacity_actual_bed,occupied_rooms,capacity_actual_room,occupancy_rate_beds,occupancy_rate_rooms,occupancy_rate
2024-01-01,Families,Room Based Capacity,Toronto,0,0,149,149,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,0,0,57,57,0,1,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,8,8,0,0,1,0,100
2024-01-01,Families,Room Based Capacity,North York,0,0,67,67,0,1,100
2024-01-01,Families,Room Based Capacity,North York,0,0,161,161,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,Etobicoke,0,0,142,142,0,1,100
2024-01-01,Men,Room Based Capacity,Toronto,0,0,39,39,0,1,100
2024-01-01,Men,Bed Based Capacity,Toronto,42,42,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,19,23,0,0,0.8260869565217391,0,82.6086956521739
2024-01-01,Families,Room Based Capacity,Toronto,0,0,29,29,0,1,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,64,64,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,0,0,11,11,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,0,0,81,81,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,0,0,15,15,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,0,0,77,77,0,1,100
2024-01-01,Men,Bed Based Capacity,Toronto,14,18,0,0,0.7777777777777778,0,77.77777777777779
2024-01-01,Women,Room Based Capacity,Scarborough,0,0,103,103,0,1,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,44,44,0,1,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,49,49,0,1,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,20,20,0,1,100
2024-01-01,Men,Bed Based Capacity,Toronto,61,68,0,0,0.8970588235294118,0,89.70588235294117
2024-01-01,Mixed Adult,Room Based Capacity,Vaughan,0,0,66,69,0,0.9565217391304348,95.65217391304348
2024-01-01,Men,Bed Based Capacity,Toronto,46,48,0,0,0.9583333333333334,0,95.83333333333334
2024-01-01,Men,Bed Based Capacity,Toronto,101,101,0,0,1,0,100
2024-01-01,Families,Room Based Capacity,Toronto,0,0,32,32,0,1,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,21,48,0,0,0.4375,0,43.75
2024-01-01,Mixed Adult,Room Based Capacity,NA,0,0,136,136,0,1,100
2024-01-01,Mixed Adult,Room Based Capacity,NA,0,0,9,10,0,0.9,90
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,93,93,0,0,1,0,100
2024-01-01,Men,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
