occupancy_date,sector,capacity_type,location_city,occupancy_rate
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,North York,100
2024-01-01,Families,Room Based Capacity,North York,100
2024-01-01,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-01,Men,Room Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,82.6086956521739
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,100
2024-01-01,Men,Bed Based Capacity,Toronto,77.77777777777779
2024-01-01,Women,Room Based Capacity,Scarborough,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,89.70588235294117
2024-01-01,Mixed Adult,Room Based Capacity,Vaughan,95.65217391304348
2024-01-01,Men,Bed Based Capacity,Toronto,95.83333333333334
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,43.75
2024-01-01,Mixed Adult,Room Based Capacity,NA,100
2024-01-01,Mixed Adult,Room Based Capacity,NA,90
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,91.66666666666666
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,98.4375
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,50
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,92.85714285714286
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,98.71794871794872
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,98.79518072289156
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,89.13043478260869
2024-01-01,Youth,Bed Based Capacity,Toronto,98
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Room Based Capacity,Scarborough,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-01,Women,Bed Based Capacity,Toronto,97.2972972972973
2024-01-01,Women,Bed Based Capacity,Toronto,92
2024-01-01,Women,Bed Based Capacity,Toronto,98.07692307692308
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Room Based Capacity,North York,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,90
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,90
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,92
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,80
2024-01-01,Men,Room Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,99.08256880733946
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,North York,100
2024-01-01,Women,Bed Based Capacity,North York,100
2024-01-01,Men,Bed Based Capacity,North York,100
2024-01-01,Women,Bed Based Capacity,North York,100
2024-01-01,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-01,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,NA,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-01,Youth,Bed Based Capacity,Toronto,83.33333333333334
2024-01-01,Youth,Bed Based Capacity,Toronto,80
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Men,Room Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Women,Room Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Women,Room Based Capacity,North York,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Room Based Capacity,Scarborough,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Room Based Capacity,North York,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Men,Bed Based Capacity,Toronto,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,NA,100
2024-01-01,Families,Room Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Women,Bed Based Capacity,Toronto,96.42857142857144
2024-01-01,Youth,Bed Based Capacity,Toronto,100
2024-01-01,Youth,Bed Based Capacity,Etobicoke,100
2024-01-01,Youth,Bed Based Capacity,Etobicoke,95
2024-01-01,Youth,Bed Based Capacity,Scarborough,100
2024-01-01,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,North York,100
2024-01-02,Families,Room Based Capacity,North York,99.37888198757764
2024-01-02,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-02,Men,Room Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,Toronto,98.4375
2024-01-02,Mixed Adult,Room Based Capacity,North York,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,100
2024-01-02,Men,Bed Based Capacity,Toronto,83.33333333333334
2024-01-02,Women,Room Based Capacity,Scarborough,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,89.70588235294117
2024-01-02,Mixed Adult,Room Based Capacity,Vaughan,95.65217391304348
2024-01-02,Men,Bed Based Capacity,Toronto,93.75
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,91.66666666666666
2024-01-02,Mixed Adult,Room Based Capacity,NA,100
2024-01-02,Mixed Adult,Room Based Capacity,NA,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,86.11111111111111
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,98.1132075471698
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,91.42857142857144
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,96.92307692307692
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,50
2024-01-02,Youth,Bed Based Capacity,Toronto,98.93617021276596
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,92.85714285714286
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,97.59036144578312
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,95.65217391304348
2024-01-02,Youth,Bed Based Capacity,Toronto,98
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Room Based Capacity,Scarborough,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-02,Women,Bed Based Capacity,Toronto,97.2972972972973
2024-01-02,Women,Bed Based Capacity,Toronto,92
2024-01-02,Women,Bed Based Capacity,Toronto,96.15384615384616
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Room Based Capacity,North York,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,90
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,90
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,94.9579831932773
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,92
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,80
2024-01-02,Men,Room Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,98.1981981981982
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,North York,100
2024-01-02,Women,Bed Based Capacity,North York,100
2024-01-02,Men,Bed Based Capacity,North York,100
2024-01-02,Women,Bed Based Capacity,North York,100
2024-01-02,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-02,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,NA,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-02,Youth,Bed Based Capacity,Toronto,83.33333333333334
2024-01-02,Youth,Bed Based Capacity,Toronto,80
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
